RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
22,26.10,1:25.93,CZE,9150168,1999,35,POCINEK Adam,22,National Championships Funes - Vilnoess (ITA),2024-02-09
23,23.20,1:29.05,GER,9200220,2006,54,RIEDEL Arne,23,National Championships Funes - Vilnoess (ITA),2024-02-09
24,20.30,1:29.95,ITA,9290437,2004,40,DA COL Tommaso Felice,24,National Championships Funes - Vilnoess (ITA),2024-02-09
25,17.40,1:32.19,ITA,9290530,2007,48,DA COL Edoardo Leone,25,National Championships Funes - Vilnoess (ITA),2024-02-09
26,14.50,1:32.46,ITA,9290532,2008,56,APOLLONIO Luca,26,National Championships Funes - Vilnoess (ITA),2024-02-09
27,13.05,1:36.00,ITA,9290547,2008,57,POMPANIN Alessandro,27,National Championships Funes - Vilnoess (ITA),2024-02-09
28,11.60,1:38.41,ITA,1333459,1961,52,FAVA Fabrizio,28,National Championships Funes - Vilnoess (ITA),2024-02-09
29,10.44,38.31,GER,9200145,2000,23,ANGENEND Yannik,29,National Championships Funes - Vilnoess (ITA),2024-02-09
30,9.28,38.75,GER,9200208,2005,33,RIEL Benedikt,30,National Championships Funes - Vilnoess (ITA),2024-02-09
31,8.12,38.85,ITA,9290463,2005,27,SANTUARI Mike,31,National Championships Funes - Vilnoess (ITA),2024-02-09
32,7.54,41.83,ITA,1020634,1973,39,RABANSER Georg,32,National Championships Funes - Vilnoess (ITA),2024-02-09
