RowID,FIS Points,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
38,4.20,JPN,9300459,1992,164,38,MOMONO Shinya,"",European Cup Moninec (CZE),2023-12-20
39,4.14,AUT,9050315,2004,134,39,PAHEINER Andreas,"",European Cup Moninec (CZE),2023-12-20
40,4.07,CZE,9150168,1999,126,40,POCINEK Adam,"",European Cup Moninec (CZE),2023-12-20
41,4.00,UKR,9690175,2005,139,41,BILOUS Nestor,"",European Cup Moninec (CZE),2023-12-20
42,3.94,GEO,1684990,1985,146,42,NAZGAIDZE Revaz,"",European Cup Moninec (CZE),2023-12-20
43,3.87,ITA,9290530,2007,148,43,DA COL Edoardo Leone,"",European Cup Moninec (CZE),2023-12-20
44,3.81,CZE,9150213,1981,133,44,URBAN Ales,"",European Cup Moninec (CZE),2023-12-20
45,3.74,CZE,9150316,2004,145,45,BIEGEL Benjamin,"",European Cup Moninec (CZE),2023-12-20
46,3.67,CZE,1473042,1980,132,46,BRUZEK Viktor,"",European Cup Moninec (CZE),2023-12-20
47,3.61,CZE,9150317,2004,142,47,KRUPA Adam,"",European Cup Moninec (CZE),2023-12-20
48,3.54,ITA,9290330,1999,162,48,CASTELLO Jamie Lee,"",European Cup Moninec (CZE),2023-12-20
49,3.48,GER,9200210,2005,151,49,ADLER Felix Nepomuk,"",European Cup Moninec (CZE),2023-12-20
50,3.41,CZE,9150345,2008,160,50,MARES Filip,"",European Cup Moninec (CZE),2023-12-20
51,3.34,CZE,9150336,2004,156,51,KRAUTMAN Christopher Joseph,"",European Cup Moninec (CZE),2023-12-20
52,3.28,CZE,9150395,2008,158,52,MICHAL Tomas,"",European Cup Moninec (CZE),2023-12-20
53,3.21,JPN,9301037,2005,120,53,SUMINAGA Shogo,"",European Cup Moninec (CZE),2023-12-20
54,3.15,HUN,9240046,2005,150,54,SZABO Marcell,"",European Cup Moninec (CZE),2023-12-20
55,"",SUI,9510555,2007,157,55,MOSCA Nuri,"",European Cup Moninec (CZE),2023-12-20
56,"",MGL,1724976,2003,155,56,GANBAATAR Ganzorig,"",European Cup Moninec (CZE),2023-12-20
57,"",FRA,9190630,1973,161,57,ABADIE William,"",European Cup Moninec (CZE),2023-12-20
58,"",GER,9200220,2006,154,58,RIEDEL Arne,"",European Cup Moninec (CZE),2023-12-20
59,"",GER,9200234,2008,159,59,SCHWERDT Samuel,"",European Cup Moninec (CZE),2023-12-20
60,"","",MEISSER Nicola,SUI,9510546,"",2006,,European Cup Moninec (CZE),2023-12-20
61,"","",GASIENICA-DANIEL Andrzej,POL,9430012,"",1987,,European Cup Moninec (CZE),2023-12-20
62,"","",DA COL Tommaso Felice,ITA,9290437,"",2004,,European Cup Moninec (CZE),2023-12-20
63,"","",KATHRINER Arne,SUI,9510518,"",2005,,European Cup Moninec (CZE),2023-12-20
64,"","",LEE Jeong-Gil,KOR,9320243,"",2006,,European Cup Moninec (CZE),2023-12-20
65,"","",ELLISON Andrew,USA,9531459,"",1998,,European Cup Moninec (CZE),2023-12-20
66,"","",ARENDS Aernout,NED,9400089,"",1967,,European Cup Moninec (CZE),2023-12-20
67,"","",SOBINGER Tim,GER,9200201,"",2004,,European Cup Moninec (CZE),2023-12-20
68,"","",KABALIUK Mykhailo,UKR,9690174,"",2005,,European Cup Moninec (CZE),2023-12-20
