RowID,FIS Points,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
41,4.00,UKR,9690174,2005,142,41,KABALIUK Mykhailo,"",European Cup Moninec (CZE),2023-12-19
42,3.94,CZE,1473042,1980,125,42,BRUZEK Viktor,"",European Cup Moninec (CZE),2023-12-19
43,3.87,CZE,9150213,1981,127,43,URBAN Ales,"",European Cup Moninec (CZE),2023-12-19
44,3.81,ITA,9290514,2007,148,44,CRAZZOLARA Kevin,"",European Cup Moninec (CZE),2023-12-19
45,3.74,SUI,9510518,2005,152,45,KATHRINER Arne,"",European Cup Moninec (CZE),2023-12-19
46,3.67,ITA,9290330,1999,162,46,CASTELLO Jamie Lee,"",European Cup Moninec (CZE),2023-12-19
47,3.61,GER,9200210,2005,151,47,ADLER Felix Nepomuk,"",European Cup Moninec (CZE),2023-12-19
48,3.54,GER,9200220,2006,154,48,RIEDEL Arne,"",European Cup Moninec (CZE),2023-12-19
49,3.48,CZE,9150316,2004,144,49,BIEGEL Benjamin,"",European Cup Moninec (CZE),2023-12-19
50,3.41,GER,9200234,2008,159,50,SCHWERDT Samuel,"",European Cup Moninec (CZE),2023-12-19
51,3.34,SUI,9510555,2007,157,51,MOSCA Nuri,"",European Cup Moninec (CZE),2023-12-19
52,3.28,POL,9430191,2004,150,52,WILK Michal,"",European Cup Moninec (CZE),2023-12-19
53,3.21,CZE,9150317,2004,140,53,KRUPA Adam,"",European Cup Moninec (CZE),2023-12-19
54,3.15,ITA,9290530,2007,147,54,DA COL Edoardo Leone,"",European Cup Moninec (CZE),2023-12-19
55,"",HUN,9240046,2005,149,55,SZABO Marcell,"",European Cup Moninec (CZE),2023-12-19
56,"",FRA,9190630,1973,161,56,ABADIE William,"",European Cup Moninec (CZE),2023-12-19
57,"",MGL,1724976,2003,155,57,GANBAATAR Ganzorig,"",European Cup Moninec (CZE),2023-12-19
58,"",USA,9531459,1998,139,58,ELLISON Andrew,"",European Cup Moninec (CZE),2023-12-19
59,"",CZE,9150336,2004,156,59,KRAUTMAN Christopher Joseph,"",European Cup Moninec (CZE),2023-12-19
60,"",NED,9400089,1967,164,60,ARENDS Aernout,"",European Cup Moninec (CZE),2023-12-19
61,"","",MEISSER Nicola,SUI,9510546,"",2006,,European Cup Moninec (CZE),2023-12-19
62,"","",SUMINAGA Shogo,JPN,9301037,"",2005,,European Cup Moninec (CZE),2023-12-19
63,"","",ZORGE Youri,NED,9400117,"",2005,,European Cup Moninec (CZE),2023-12-19
64,"","",RIEL Benedikt,GER,9200208,"",2005,,European Cup Moninec (CZE),2023-12-19
65,"","",KHARUK Mykhailo,UKR,9690121,"",1999,,European Cup Moninec (CZE),2023-12-19
66,"","",PAHEINER Andreas,AUT,9050315,"",2004,,European Cup Moninec (CZE),2023-12-19
67,"","",MICHAL Tomas,CZE,9150395,"",2008,,European Cup Moninec (CZE),2023-12-19
68,"","",RABANSER Georg,ITA,1020634,"",1973,,European Cup Moninec (CZE),2023-12-19
