RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Event Name,Date
19,28.80,56.08,CAN,9101355,2005,27,19,FREEMAN Luis,FIS Junior World Championships Lachtal (AUT),2024-03-22
20,26.40,56.16,POL,9430193,2004,40,20,MIKOLAJCZYK Maciej,FIS Junior World Championships Lachtal (AUT),2024-03-22
21,24.00,56.25,AUT,9050318,2006,19,21,HAMMERSCHMIDT Lion,FIS Junior World Championships Lachtal (AUT),2024-03-22
22,21.60,56.68,ITA,9290497,2006,33,22,HALLER Manuel,FIS Junior World Championships Lachtal (AUT),2024-03-22
23,19.20,56.80,GBR,9220173,2006,41,23,CARPENTER Samuel,FIS Junior World Championships Lachtal (AUT),2024-03-22
24,16.80,56.85,CZE,9150345,2008,50,24,MARES Filip,FIS Junior World Championships Lachtal (AUT),2024-03-22
25,14.40,57.15,CAN,9101366,2006,47,25,HELDMAN Matthew,FIS Junior World Championships Lachtal (AUT),2024-03-22
26,12.00,58.07,ITA,9290437,2004,46,26,DA COL Tommaso Felice,FIS Junior World Championships Lachtal (AUT),2024-03-22
27,10.80,58.11,POL,9430191,2004,44,27,WILK Michal,FIS Junior World Championships Lachtal (AUT),2024-03-22
28,9.60,59.33,BUL,9090182,2008,61,28,ERMENKOV Ivaylo,FIS Junior World Championships Lachtal (AUT),2024-03-22
29,8.64,1:02.18,KOR,9320237,2006,51,29,PARK Jaemin,FIS Junior World Championships Lachtal (AUT),2024-03-22
30,7.68,1:03.03,USA,9531571,2004,37,30,PIERCE Nicholas,FIS Junior World Championships Lachtal (AUT),2024-03-22
31,6.72,"",KOR,9320222,2005,34,31,PARK Jisung,FIS Junior World Championships Lachtal (AUT),2024-03-22
32,6.24,"",BUL,9090184,2008,65,32,KARADJINOV Georgi,FIS Junior World Championships Lachtal (AUT),2024-03-22
33,5.76,28.96,UKR,9690180,2006,59,33,POPADYCH Oleksandr,FIS Junior World Championships Lachtal (AUT),2024-03-22
34,5.28,28.99,KOR,9320246,2006,55,34,KIM Sangyun,FIS Junior World Championships Lachtal (AUT),2024-03-22
35,4.80,29.05,CZE,9150343,2006,49,35,TULACH Ondrej,FIS Junior World Championships Lachtal (AUT),2024-03-22
36,4.73,29.16,KOR,9320267,2008,66,36,LEE Hyunseok,FIS Junior World Championships Lachtal (AUT),2024-03-22
37,4.66,29.20,CZE,9150317,2004,52,37,KRUPA Adam,FIS Junior World Championships Lachtal (AUT),2024-03-22
38,4.58,29.22,JPN,9301037,2005,30,38,SUMINAGA Shogo,FIS Junior World Championships Lachtal (AUT),2024-03-22
39,4.51,29.44,CZE,9150336,2004,58,39,KRAUTMAN Christopher Joseph,FIS Junior World Championships Lachtal (AUT),2024-03-22
40,4.44,29.55,CZE,9150395,2008,64,40,MICHAL Tomas,FIS Junior World Championships Lachtal (AUT),2024-03-22
41,4.37,29.56,SUI,9510555,2007,54,41,MOSCA Nuri,FIS Junior World Championships Lachtal (AUT),2024-03-22
42,4.30,30.11,SUI,9510546,2006,53,42,MEISSER Nicola,FIS Junior World Championships Lachtal (AUT),2024-03-22
43,4.22,30.54,KOR,9320217,2004,43,43,KIL Geon Ho,FIS Junior World Championships Lachtal (AUT),2024-03-22
44,4.15,30.57,UKR,9690183,2007,57,44,BAZHAN Sviatoslav,FIS Junior World Championships Lachtal (AUT),2024-03-22
45,4.08,30.88,SUI,9510518,2005,63,45,KATHRINER Arne,FIS Junior World Championships Lachtal (AUT),2024-03-22
46,"",32.94,HUN,9240046,2005,60,46,SZABO Marcell,FIS Junior World Championships Lachtal (AUT),2024-03-22
47,"",33.36,ITA,9290463,2005,29,47,SANTUARI Mike,FIS Junior World Championships Lachtal (AUT),2024-03-22
48,"",34.80,GRE,9230001,2005,62,48,KARAFYLLIAS Drosos,FIS Junior World Championships Lachtal (AUT),2024-03-22
49,"",36.22,POL,9430208,2006,45,49,KULPINSKI Anatol,FIS Junior World Championships Lachtal (AUT),2024-03-22
50,"",36.52,KOR,9320240,2006,56,50,KIM Ji Eon,FIS Junior World Championships Lachtal (AUT),2024-03-22
