RowID,Nation Year,Nation,FIS code,Year,Bib,Rank,Name,Event Name,Date
23,1984,"",1659088,"",9-1,"",KOSIR Zan,World Cup Bad Gastein (AUT),2024-01-17
24,1989,"",1569955,"",9-2,"",KOTNIK Gloria,World Cup Bad Gastein (AUT),2024-01-17
25,"",29,9531340,USA,8,9,UNITED STATES OF AMERICA 1,World Cup Bad Gastein (AUT),2024-01-17
26,2000,"",9531244,"",8-1,"",WINTERS Cody,World Cup Bad Gastein (AUT),2024-01-17
27,2003,"",9535569,"",8-2,"",PFLUM Iris,World Cup Bad Gastein (AUT),2024-01-17
28,"",26,9510439,SUI,10,10,SWITZERLAND 2,World Cup Bad Gastein (AUT),2024-01-17
29,2000,"",9510417,"",10-1,"",CASANOVA Gian,World Cup Bad Gastein (AUT),2024-01-17
30,1993,"",9515102,"",10-2,"",JENNY Ladina,World Cup Bad Gastein (AUT),2024-01-17
31,"",24,9200156,GER,11,11,GERMANY 2,World Cup Bad Gastein (AUT),2024-01-17
32,1999,"",9200128,"",11-1,"",HUBER Elias,World Cup Bad Gastein (AUT),2024-01-17
33,1996,"",9205056,"",11-2,"",HOCHREITER Melanie,World Cup Bad Gastein (AUT),2024-01-17
34,"",22,9200157,GER,12,12,GERMANY 3,World Cup Bad Gastein (AUT),2024-01-17
35,2001,"",9200158,"",12-1,"",PRANTL Ole-Mikkel,World Cup Bad Gastein (AUT),2024-01-17
36,1994,"",9205050,"",12-2,"",LOCH Cheyenne,World Cup Bad Gastein (AUT),2024-01-17
37,"",20,9050270,AUT,14,13,AUSTRIA 4,World Cup Bad Gastein (AUT),2024-01-17
38,1996,"",9050217,"",14-1,"",OBMANN Fabian,World Cup Bad Gastein (AUT),2024-01-17
39,2002,"",9055100,"",14-2,"",PICHELKASTNER Jessica,World Cup Bad Gastein (AUT),2024-01-17
40,"",18,9690144,UKR,15,14,UKRAINE 1,World Cup Bad Gastein (AUT),2024-01-17
41,1999,"",9690121,"",15-1,"",KHARUK Mykhailo,World Cup Bad Gastein (AUT),2024-01-17
42,1990,"",1699945,"",15-2,"",DANCHA Annamari,World Cup Bad Gastein (AUT),2024-01-17
43,"",16,9150292,CZE,16,15,CZECHIA 1,World Cup Bad Gastein (AUT),2024-01-17
44,2006,"",9150333,"",16-1,"",MINARIK Krystof,World Cup Bad Gastein (AUT),2024-01-17
45,2003,"",9155072,"",16-2,"",MADEROVA Zuzana,World Cup Bad Gastein (AUT),2024-01-17
46,"",15,9050286,AUT,20,16,AUSTRIA 5,World Cup Bad Gastein (AUT),2024-01-17
47,1989,"",9050042,"",20-1,"",PAYER Alexander,World Cup Bad Gastein (AUT),2024-01-17
48,2001,"",9055093,"",20-2,"",KAINZ Carmen,World Cup Bad Gastein (AUT),2024-01-17
49,"",14,9101001,CAN,13,17,CANADA 1,World Cup Bad Gastein (AUT),2024-01-17
50,2000,"",9100945,"",13-1,"",GAUDET Arnaud,World Cup Bad Gastein (AUT),2024-01-17
51,2000,"",9105371,"",13-2,"",BUCK Kaylie,World Cup Bad Gastein (AUT),2024-01-17
52,"",13,9430158,POL,17,18,POLAND 1,World Cup Bad Gastein (AUT),2024-01-17
53,1996,"",9430120,"",17-1,"",KWIATKOWSKI Oskar,World Cup Bad Gastein (AUT),2024-01-17
54,1999,"",9435070,"",17-2,"",BUKOWSKA-CHYC Maria,World Cup Bad Gastein (AUT),2024-01-17
55,"",12,9050285,AUT,18,19,AUSTRIA 3,World Cup Bad Gastein (AUT),2024-01-17
56,1985,"",1054984,"",18-1,"",KARL Benjamin,World Cup Bad Gastein (AUT),2024-01-17
57,2002,"",9055101,"",18-2,"",WEIS Miriam,World Cup Bad Gastein (AUT),2024-01-17
58,"",11,9430159,POL,19,20,POLAND 2,World Cup Bad Gastein (AUT),2024-01-17
59,1996,"",9430124,"",19-1,"",NOWACZYK Michal,World Cup Bad Gastein (AUT),2024-01-17
60,2000,"",9435077,"",19-2,"",KWIATKOWSKA Olimpia,World Cup Bad Gastein (AUT),2024-01-17
61,"",10,9535481,USA,21,21,UNITED STATES OF AMERICA 2,World Cup Bad Gastein (AUT),2024-01-17
62,1997,"",9531069,"",21-1,"",UDOLF Dylan,World Cup Bad Gastein (AUT),2024-01-17
63,1999,"",9535431,"",21-2,"",KIZUKA Kaiya,World Cup Bad Gastein (AUT),2024-01-17
64,"",9,9300891,JPN,22,22,JAPAN 1,World Cup Bad Gastein (AUT),2024-01-17
65,2001,"",9300870,"",22-1,"",SHIMIZU Daichi,World Cup Bad Gastein (AUT),2024-01-17
66,1994,"",9305265,"",22-2,"",KOSHISAKA Ayana,World Cup Bad Gastein (AUT),2024-01-17
67,"",8,9150223,CZE,23,23,CZECHIA 2,World Cup Bad Gastein (AUT),2024-01-17
68,1999,"",9150168,"",23-1,"",POCINEK Adam,World Cup Bad Gastein (AUT),2024-01-17
69,2005,"",9155107,"",23-2,"",KECLIKOVA Adela,World Cup Bad Gastein (AUT),2024-01-17
70,"",7,9690145,UKR,24,24,UKRAINE 2,World Cup Bad Gastein (AUT),2024-01-17
71,1995,"",9690062,"",24-1,"",BELINSKYI Oleksandr,World Cup Bad Gastein (AUT),2024-01-17
72,2003,"",9695036,"",24-2,"",HAPATYN Nadiia,World Cup Bad Gastein (AUT),2024-01-17
