RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date,URL,FIS Points,Score,Cup Points,Nation Year,Name,Order
14,POL,9435104,2006,59.43,22,14,DAWIDEK Weronika,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
15,CHN,9125028,2001,59.43,51,15,KONG Binbin,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
16,SUI,9515196,2002,59.78,38,16,HAUSER Ricarda,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
17,SUI,9515236,2007,59.93,19,17,VON SIEBENTHAL Xenia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
18,CAN,9105371,2000,59.96,25,18,BUCK Kaylie,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
19,AUT,9055118,2006,1:00.03,46,19,GAMS Marie,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
20,CHN,9125009,1997,1:00.04,36,20,DONG Xue,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
21,GER,9205103,2006,1:00.08,44,21,SCHEID Mathilda,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
22,CZE,9155071,2003,1:00.16,43,22,SONKOVA Klara,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
23,USA,9535531,2000,1:00.27,37,23,BULLIS Alexa,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
24,AUT,9055100,2002,1:00.56,45,24,PICHELKASTNER Jessica,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
25,UKR,9695036,2003,1:00.58,26,25,HAPATYN Nadiia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
26,JPN,9305432,2003,1:00.71,52,26,KANAZAWA Noa,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
27,USA,9535431,1999,1:01.05,33,27,KIZUKA Kaiya,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
28,CZE,9155107,2005,1:01.05,34,28,KECLIKOVA Adela,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
29,JPN,9305265,1994,1:01.45,21,29,KOSHISAKA Ayana,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
30,UKR,1699984,1997,1:05.79,55,30,MALOVANNA Oleksandra,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
31,SUI,9515213,2004,28.97,59,31,BAETSCHI Laila Ursina,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
32,GER,9205100,2005,29.76,64,32,BUCCIONI Aurelia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
